"id","href","name","default","created","updated","timestamp"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-18T00:00:52"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-22T00:00:49"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-23T00:00:48"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-24T00:00:49"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-25T00:00:48"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-26T00:00:48"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-27T00:00:49"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-06-28T00:00:48"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-07-13T09:04:08"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-07-13T11:18:14"
"5d48e49f-065b-4556-b16e-ab6882438057","/api/collections/5d48e49f-065b-4556-b16e-ab6882438057","Deep Security Smart Check Collection","true","2023-04-05T10:54:16Z","2023-04-05T10:54:16Z","2023-07-14T08:59:04"