"content.registries","content.repositories","content.images","scans.pending","scans.inProgress","scans.ok","scans.warnings","scans.cancelled","scans.errors","findings.malware","findings.contents.total.high","findings.contents.unresolved.high","findings.vulnerabilities.total.critical","findings.vulnerabilities.total.high","findings.vulnerabilities.total.medium","findings.vulnerabilities.total.low","findings.vulnerabilities.total.negligible","findings.vulnerabilities.total.unknown","findings.vulnerabilities.unresolved.critical","findings.vulnerabilities.unresolved.high","findings.vulnerabilities.unresolved.medium","findings.vulnerabilities.unresolved.low","findings.vulnerabilities.unresolved.negligible","findings.vulnerabilities.unresolved.unknown","findings.vulnerabilities.fixAvailable.critical","findings.vulnerabilities.fixAvailable.high","findings.vulnerabilities.fixAvailable.medium","findings.vulnerabilities.fixAvailable.low","findings.vulnerabilities.fixAvailable.negligible","findings.vulnerabilities.fixAvailable.unknown","findings.checklists.total.high","findings.checklists.total.medium","findings.checklists.total.low","findings.checklists.unresolved.high","findings.checklists.unresolved.medium","findings.checklists.unresolved.low","history.1d.scans","history.1w.scans","timestamp"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","10","2023-06-18T00:00:52"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","10","2023-06-22T00:00:49"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","1","2023-06-23T00:00:49"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","0","2023-06-24T00:00:49"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","0","2023-06-25T00:00:49"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","0","2023-06-26T00:00:48"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","0","2023-06-27T00:00:49"
"12","108","897","0","6","10","868","0","13","3","46","46","14423","60705","67080","10312","11764","34945","14354","60590","67027","10304","11762","34850","10217","37339","39147","4644","4978","20708","27","3","1","27","3","1","0","0","2023-06-28T00:00:48"
"12","143","1051","0","9","60","969","0","13","9","181","181","15929","68299","77845","12199","13690","43047","15838","67979","77712","12177","13687","42938","11145","41568","44324","6006","5252","25656","62","3","1","62","3","1","0","97","2023-07-13T09:04:08"
"12","143","1051","0","9","60","969","0","13","9","181","181","15929","68299","77845","12199","13690","43047","15838","67979","77712","12177","13687","42938","11145","41568","44324","6006","5252","25656","62","3","1","62","3","1","0","89","2023-07-13T11:18:14"
"12","143","1051","0","9","60","969","0","13","9","181","181","15929","68299","77845","12199","13690","43047","15838","67979","77712","12177","13687","42938","11145","41568","44324","6006","5252","25656","62","3","1","62","3","1","0","0","2023-07-14T08:59:05"